Article	Label
the litecoin price has enjoyed a breakneck bull run in 2019, launching the cryptocurrency nearly 200 percent higher in less than six months. but while cautious investors might be tempted to take their profits and run, a crucial upcoming event could send litecoin another 140% higher over the next three months, enabling ltc to eclipse the $220 mark for the first time in more than a year. the trigger from this mammoth ascent? litecoin&#8217;s long-awaited &#8220;halvening,&#8221; which will slash block rewards by 50%, from 25 ltc to 12.5 ltc. historically, such halvenings (or &#8220;halvings&#8221;) have proven to be	2
"the post <a rel=""nofollow"" href="""">why litecoin will skyrocket 140% in less than 3 months &#038; hit $220</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
by ccn: a producer of netflix hit &#8220;mudbound&#8221; thinks he has what it takes to make a crypto movie that won’t bore people to death or fill their brains with inaccuracies about the space. if you value the oscars, you may believe he could pull this off considering &#8220;mudbound&#8221; managed to get a nomination from the academy awards. using the twitter handle @commonenemyinc, he threw out the idea on social media. kyle tekiela is named as a &#8220;five-time emmy award winner and co-founder of common enemy&#8221; on the company&#8217;s website. if i wanted to make a (real) movie with only	1
"the post <a rel=""nofollow"" href="""">a hollywood producer &#038; bitcoin fan explores making a &#8216;real&#8217; crypto flick</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
most of crypto land celebrated when flexa and gemini partnered to deliver digital currency-fueled micro-payments to merchants. spedn will let consumers shop at major stores including nordstrom and lowe&#8217;s and pay with crypto across bitcoin, ether, bitcoin cash, and gemini dollar. but one crypto influencer was left out of the celebration – litecoin creator charlie lee. that&#8217;s because litecoin was noticeably absent from the list of coins that the spedn app supports. lee tagged flexa co-founder trevor filter in a tweet rallying followers to agree that the &#8220;app should let us pay with litecoin at whole foods, gamestop,	2
"the post <a rel=""nofollow"" href="""">flexa co-founder semi-teases adding litecoin to crypto payment app</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
it has been almost a year and a half since bears took over crypto markets. bitcoin took a massive beating as it shed 84% of its value. other large-cap coins shared more brutal fates. ethereum, litecoin, and eos were all devalued by more than 90%. last year was full of trials and tribulations for retail investors. thankfully, the ordeal is finally over. with bitcoin’s unbelievable run over the last few days, altcoins such as ethereum, litecoin, and eos have responded with massive technical breakouts. this prompted us to declare that the crypto winter of 2018 is now behind	1
"the post <a rel=""nofollow"" href="""">crypto bears cave: 3 altcoins with bullish potential like parabolic bitcoin</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the litecoin price has surpassed $100 once again and nobody is more pumped about it than ufc fighter ben askren. the ltc price hasn&#8217;t been trading in the triple digits since june 2018, according to coinmarketcap data. it&#8217;s up more than 13% today and litecoin disciple askren is shouting it from the twitter rooftops. earlier this year, the litecoin foundation sponsored askren, whose nickname is &#8220;funky&#8221;, for ufc 235, his ultimate fighting championship match in which he faced robbie lawler. askren was named the winner of the match after three minutes and 20 seconds, but litecoin won, too.	1
"the post <a rel=""nofollow"" href="""">ufc fighter ben &#8216;funky&#8217; askren shills litecoin as price pumps to $100</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
charlie lee is selling more litecoin, but not of the digital variety. after liquidating his ltc portfolio at year-end 2017, the litecoin creator is now auctioning off what he describes as &#8220;unique collectibles&#8221;. these are more than a dozen physical coins with labels that are signed by charlie lee himself. lee stated on the bitcoin forum: &#8220;i got some of my lealana 25ltc &#38; 10ltc coins graded by icg. the labels of these coins are signed by me. there are a total of 5x 25ltc coins and 8x 10ltc coins. i have no plans to do any more	1
"the post <a rel=""nofollow"" href="""">charlie lee tempts fate, offloads physical litecoin collectibles in auction</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
börse stuttgart, the second biggest stock exchange in germany and the ninth largest in europe, has approved the listing of litecoin and xrp exchange-traded notes (etns). “for the first time in germany, investors can now buy and sell exchange-traded notes (etns) based on the cryptocurrencies litecoin and ripple (xrp). the four securities issued by xbt provider in sweden track the price of the two cryptocurrencies in relation to the euro and the swedish krona,” the börse stuttgart team said. similar to exchange-traded funds (etfs), etns operate as strictly regulated, transparent, and protected instruments that can be used by	1
"the post <a rel=""nofollow"" href="""">germany’s no.2 stock exchange enables investors to buy litecoin, xrp</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
with the exception of bitcoin, litecoin is arguably doing more than any other coin for mainstream adoption. most recently, litecoin creator charlie lee has inked a partnership with travala.com, a blockchain-based hotel booking platform. even though travala.com is another blockchain company, it&#8217;s a play on the travel industry and represents a use case that can serve as a model for future deals. while expedia has shied away from accepting bitcoin, it could change its tune if travala.com&#8217;s litecoin payments take off. charlie lee stated in the announcement: &#8220;we are excited to work with travala.com to make it easier	1
"the post <a rel=""nofollow"" href="""">litecoin hastens mainstream adoption, inks deal with blockchain startup travala</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
charlie lee can&#8217;t seem to shake his reputation for offloading his litecoin holdings near the peak. the litecoin creator was featured in a podcast with morgan creek digital partner anthony pompliano where he fielded some tough questions both about his ltc portfolio and the state of the crypto industry. something that you might not know is when charlie decided to sell his litecoins when the cryptocurrency was trading at approximately $300 he expected the price to go much higher. he said on the podcast: &#8220;i actually personally did think it was going to keep going up. i didn&#8217;t	1
"the post <a rel=""nofollow"" href="""">charlie lee: &#8216;i thought litecoin was going to hit $1,000&#8217;</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the bitcoin price has increased from $5,173 to $5,297 on major regulated crypto exchanges including coinbase in the past 24 hours, by 2.3 percent. major crypto assets such as litecoin and bitcoin cash spiked by 4 to 11 percent against the u.s. dollar. the unexpected recovery of the crypto market overnight comes after the office of the new york attorney general filed a lawsuit against ifinex, alleging bitfinex of mismanaging the cash reserves of stablecoin tether. on april 30, as ccn reported, the general counsel of tether stated in an affidavit that only 74 percent of tether is	1
"the post <a rel=""nofollow"" href="""">tether scandal sparks bitcoin price gains; litecoin, bitcoin cash up 4%-11%</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
it&#8217;s not easy being charlie lee. it&#8217;s no secret the litecoin creator has had to deal with a crypto community that hasn&#8217;t gotten over his ltc portfolio sale. but he&#8217;s also fending off other blockchain projects, many of which have no place in the ecosystem to begin with. lee took out his frustrations on twitter, bemoaning the struggle to keep litecoin in the limelight. &#8220;watch litecoin surviving the test of time. it&#8217;s not easy fighting off all the s**tcoins and scamcoins to stay in the top 10.&#8221; litecoin is currently ranked as the fifth-biggest cryptocurrency on coinmarketcap, though	0
"the post <a rel=""nofollow"" href="""">rock star litecoin: charlie lee rails against s**t coins and scam coins</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
crypto investors should do as charlie lee says, not as he does. the litecoin creator was featured as a guest on laura shin&#8217;s unchained podcast, where he defended his decision to liquidate the holdings of the cryptocurrency that he spawned, litecoin (ltc). lee, who is a google alum, is a highly respected individual in the crypto community and his contribution to the ecosystem can&#8217;t be denied, as evidenced by a coin that has muscled its way into the six biggest cryptocurrencies. his decision to sell the cryptocurrency at year-end 2017 near the peak was simply bad pr. he	1
"the post <a rel=""nofollow"" href="""">charlie lee slams &#8216;silly&#8217; investors for not holding onto litecoin</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the litecoin price has been one of the cryptocurrency market’s top performers in 2019, climbing a ridiculous 162 percent since the new year. among large-cap cryptoassets, only binance coin has performed better, and litecoin’s year-to-date rally leaves the bitcoin price’s 40 percent advance in the dust. however, one team of crypto analysts says the sixth-largest cryptocurrency looks poised for a sell-off. litecoin price likely to crash through support &#8211; and that’s ok! writing in a note to clients on wednesday, crypto brokerage bitooda said that a downward wedge has begun to form on the litecoin chart, suggesting that	1
"the post <a rel=""nofollow"" href="""">litecoin price running out of gas after meteoric rally: crypto analyst</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
crypto trader mike novogratz fails to see the value in litecoin. novogratz, who is at the helm of crypto merchant bank galaxy digital, blasts litecoin&#8217;s size and in doing so seems to comes across as threatened by the fifth-biggest cryptocurrency. the litecoin price has seen its value expand by 40% in april alone, gains that if you ask novogratz would be better served by bitcoin. the former fortress hedge fund manager capitalized on litecoin&#8217;s reputation as being digital silver to bitcoin&#8217;s gold, comparing the size of the respective precious metal and crypto markets. while silver&#8217;s market cap is	1
"the post <a rel=""nofollow"" href="""">&#8216;glorified test net&#8217;: billionaire novogratz slams litecoin, screams &#8216;buy bitcoin&#8217;</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the crypto market cap has added a staggering $32.62 billion to its valuation in the last two days. and it is not just bitcoin that is leading the pump. what started as a bitcoin rally later transformed into an altcoin-fest when bitcoin cash and litecoin began to posting winning numbers. while bitcoin cash surged from $168.50 to as high as $336.62, litecoin ballooned to almost twice its april 2 valuation, rising from $61 to a session high at $94.48. together, the world&#8217;s fourth and fifth largest cryptocurrencies injected $4.52 billion into the market. that comprised almost 14 percent of the	1
"the post <a rel=""nofollow"" href="""">litecoin &#038; bitcoin cash fuel staggering $33 billion crypto rally</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
in the past 24 hours, the bitcoin price has remained stable above the $4,020 mark, unable to break out above a key resistance level at $4,200. meanwhile, a handful of crypto assets and tokens recorded gains in the range of 5 to 30 percent. polymath, the best performing crypto asset on the day, recorded a 31 percent gain against the u.s. dollar, with most of the volume coming from upbit, a major cryptocurrency exchange in south korea. as seen in the chart of polymath below, most alternative cryptocurrencies and tokens remain down about 90 percent down from their all-time highs	1
"the post <a rel=""nofollow"" href="""">sluggish bitcoin price creates bullish opportunities for wider crypto market: trader</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
the broader crypto market has been stuck in a narrow trading range over the short-term, but there&#8217;s one cryptocurrency whose value has nearly doubled year-to-date, and that&#8217;s litecoin (ltc). the fifth-biggest coin, which is currently trading at $60.75, has benefitted from a few high-profile partnerships inked by litecoin creator charlie lee, not to mention a push toward confidential transactions. after trading in the shadow of its larger sibling bitcoin (btc) for so long, litecoin, whose primary use case is &#8220;peer-t0-peer electronic cash,&#8221; is finally forging an identity of its own. cryptocurrency prime dealer sfox outlined five catalysts that have driven	0
"the post <a rel=""nofollow"" href="""">litecoin price doubles in 2019: 5 cataylsts fueling the rally</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
following a spike to $4,068 from the low $3,900 region, the bitcoin price has experienced a slight pullback to $4,000. while the price of bitcoin slightly differs from region to region, on average, bitcoin is currently being traded at $4,017. against tether (usdt) on binance, bitcoin has dipped below the $4,000 mark to $3,975. minor pullback before promising rally or retest of previous bitcoin supports? following a 3 percent increase in the price of bitcoin, several traders expected the dominant cryptocurrency to undergo a minor pullback. for over three months, bitcoin has remained in a relatively tight range between $3,700	0
"the post <a rel=""nofollow"" href="""">bitcoin price slips at $4,000; a minor pullback before a major rally?</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
overnight, the bitcoin price surged 3 percent against the u.s. dollar above the $4,000 mark as major crypto assets in the likes of ethereum, litecoin, and bitcoin cash recorded gains in the range of 6 to 18 percent. fueled by the momentum of bitcoin, the valuation of the crypto market spiked by $10 billion in the past week, which has been on the rise since march 12 due to the strong performance of tokens. can the bitcoin rally continue? according to cryptocurrency technical analyst mayne, on the technical side, the price trend of bitcoin is not overly bearish as long	1
"the post <a rel=""nofollow"" href="""">bitcoin up 3% as crypto adds $10 billion in 1 week: can the rally continue?</a> appeared first on <a rel=""nofollow"" href="""">ccn</a>"	1
